City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Albany,US,73.36,scattered clouds,42.6001,-73.9662,
73,Punta Arenas,CL,33.91,snow,-53.15,-70.9167,Hotel Dreams Del Estrecho
74,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
75,Bad Hofgastein,AT,64.83,light rain,47.1667,13.1,Johannesbad Hotel Palace
76,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
77,Karratha,AU,72.27,few clouds,-20.7377,116.8463,ibis Styles Karratha
78,Tuatapere,NZ,36.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
79,Ilhabela,BR,69.01,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
80,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
81,Pryozerne,UA,64.85,scattered clouds,45.2698,36.3303,
82,Codrington,AU,50.67,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
83,Kinkala,CG,82.44,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
84,Bengkulu,ID,76.5,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Provideniya,RU,37.0,overcast clouds,64.3833,-173.3,
86,Nome,US,42.87,light rain,64.5011,-165.4064,Dredge 7 Inn
87,Port Elizabeth,ZA,57.49,scattered clouds,-33.918,25.5701,39 On Nile Guest House
88,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
89,Pangody,RU,40.91,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
90,Wanaraja,ID,68.9,broken clouds,-7.1749,107.9808,Undang Beras
91,Esperance,AU,48.04,light rain,-33.8667,121.9,Hospitality Esperance
92,Adrar,MR,102.88,scattered clouds,20.5022,-10.0711,
93,Vestmannaeyjar,IS,52.79,fog,63.4427,-20.2734,Glamping & Camping
94,Valparaiso,CL,60.44,clear sky,-33.0393,-71.6273,Hotel Ultramar
95,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
96,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
97,Teguise,ES,79.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
98,Itacoatiara,BR,99.54,light rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
99,Taoudenni,ML,103.98,broken clouds,22.6783,-3.9836,
100,Ostersund,SE,46.85,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
101,Russell,US,76.71,overcast clouds,32.3502,-85.1999,Macs
102,Huilong,CN,72.99,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
103,Namalenga,TZ,75.81,broken clouds,-10.95,39.1,
104,La Ligua,CL,58.78,clear sky,-32.4524,-71.2311,Hotel Anchimallen
105,Hervey Bay,AU,57.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
106,Chapleau,CA,66.29,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
107,Gediz,TR,60.53,broken clouds,39.0417,29.41,Bilginler Kız Öğrenci Yurdu
108,Kidal,ML,101.8,scattered clouds,18.4411,1.4078,
109,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
110,Luwuk,ID,74.48,light rain,-0.9516,122.7875,Hotel Santika Luwuk
111,Santiago Del Estero,AR,76.8,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
112,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
113,Agadez,NE,94.93,clear sky,19.75,10.25,
114,Isangel,VU,70.99,scattered clouds,-19.55,169.2667,Tanna Lodge
115,Mpika,ZM,72.37,broken clouds,-11.8343,31.4529,Melodies Lodge
116,Airai,TL,58.98,broken clouds,-8.9266,125.4092,Juvinal Martin
117,Mackenzie,CA,35.82,clear sky,55.2999,-123.1698,Hilton Shop
118,Nanacamilpa,MX,63.66,overcast clouds,19.4833,-98.55,HOTEL MILENIO Nanacamilpa tlaxcala
119,Pekalongan,ID,78.84,light rain,-6.8886,109.6753,Namira Syariah Hotel
120,Hambantota,LK,81.09,overcast clouds,6.1241,81.1185,Bungalow 63
121,Guangyuan,CN,66.47,light rain,32.442,105.823,Guangyuan Poetry Hotel
122,Qasigiannguit,GL,28.65,clear sky,68.8193,-51.1922,Hotel Diskobay
123,Norman Wells,CA,44.64,few clouds,65.282,-126.8329,Heritage Hotel
124,Geraldton,AU,52.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
125,Dikson,RU,35.64,overcast clouds,73.5069,80.5464,
126,Jamestown,US,75.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
127,Hami,CN,76.82,scattered clouds,42.8,93.45,Laoyutang Resort
128,Portsmouth,GB,71.49,clear sky,50.799,-1.0913,Best Western Royal Beach Hotel
129,Margate,GB,73.26,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
130,Bethel,US,76.12,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
131,Kaitangata,NZ,40.1,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
132,Elat,IL,91.24,few clouds,29.5581,34.9482,Club Hotel Eilat
133,Coihaique,CL,57.81,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
134,Marica,BR,75.09,overcast clouds,-22.9194,-42.8186,Marica Hills
135,Kabo,CF,76.75,light rain,7.6994,18.629,
136,Kincardine,GB,66.92,light rain,56.0667,-3.7167,Premier Inn Falkirk North hotel
137,Banda Aceh,ID,78.75,overcast clouds,5.5577,95.3222,Sulthan Hotel International
138,Klaksvik,FO,52.72,broken clouds,62.2266,-6.589,Airbnb rooms
139,Kayasula,RU,72.03,light rain,44.325,45.0,
