City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
67,Ribeira Grande,PT,2021-09-23 19:58:23,68,38.5167,-28.7,72.0,20,13.8
68,Porto Novo,BJ,2021-09-23 19:58:23,86,6.4965,2.6036,80.42,77,5.32
69,Iskateley,RU,2021-09-23 19:58:24,91,67.6803,53.1512,40.14,100,8.61
70,Roanoke Rapids,US,2021-09-23 19:58:24,68,36.4615,-77.6542,79.21,1,6.91
71,Georgetown,MY,2021-09-23 19:57:28,86,5.4112,100.3354,80.89,20,0.0
72,Flinders,AU,2021-09-23 19:58:25,62,-34.5833,150.8552,62.19,5,1.01
73,Almaznyy,RU,2021-09-23 19:58:25,67,48.0448,40.045,51.94,100,2.3
74,Ostrovnoy,RU,2021-09-23 19:58:25,89,68.0531,39.5131,45.52,26,20.89
75,Guamuchil,MX,2021-09-23 19:57:53,42,25.4667,-108.1,97.75,9,5.5
76,Rozivka,UA,2021-09-23 19:58:26,76,46.9385,35.7724,47.35,18,6.71
77,Grand-Santi,GF,2021-09-23 19:58:27,36,4.25,-54.3833,94.24,49,3.78
78,Saldanha,ZA,2021-09-23 19:56:39,92,-33.0117,17.9442,59.05,100,2.06
79,San Pablo Tacachico,SV,2021-09-23 19:58:27,55,13.9756,-89.34,90.1,49,1.03
80,Udachnyy,RU,2021-09-23 19:58:27,83,66.4167,112.4,33.01,42,4.59
81,Grindavik,IS,2021-09-23 19:58:28,100,63.8424,-22.4338,45.07,90,9.22
82,Saint-Philippe,RE,2021-09-23 19:58:28,76,-21.3585,55.7679,69.35,38,11.95
83,Bluff,NZ,2021-09-23 19:58:29,68,-46.6,168.3333,45.81,72,23.91
84,Puerto Colombia,CO,2021-09-23 19:58:29,76,10.9878,-74.9547,89.69,100,6.42
85,Isangel,VU,2021-09-23 19:58:29,73,-19.55,169.2667,69.91,26,8.05
86,Abha,SA,2021-09-23 19:58:30,83,18.2164,42.5053,69.62,20,0.0
87,Sao Miguel Do Araguaia,BR,2021-09-23 19:58:30,12,-13.275,-50.1628,104.41,26,9.19
88,Ahuimanu,US,2021-09-23 19:58:31,72,21.4447,-157.8378,82.85,25,15.59
89,Nantucket,US,2021-09-23 19:55:53,84,41.2835,-70.0995,77.97,1,18.14
90,Kruisfontein,ZA,2021-09-23 19:58:31,71,-34.0033,24.7314,60.89,17,17.94
91,Zabol,AF,2021-09-23 19:58:32,14,32.25,67.25,65.61,0,3.49
92,Arlit,NE,2021-09-23 19:58:32,17,18.7369,7.3853,95.9,8,4.9
93,Albina,SR,2021-09-23 19:58:33,62,5.5,-54.05,88.02,89,7.45
94,Seminole,US,2021-09-23 19:54:29,74,28.7086,-81.2081,91.27,33,1.01
