City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
67,Los Llanos De Aridane,ES,2021-09-14 19:51:52,84,28.6585,-17.9182,73.15,20,3.44
68,Kruisfontein,ZA,2021-09-14 19:52:10,90,-34.0033,24.7314,56.88,88,13.24
69,Ancud,CL,2021-09-14 19:52:13,85,-41.8697,-73.8203,50.43,100,14.41
70,Bambous Virieux,MU,2021-09-14 19:51:54,77,-20.3428,57.7575,68.25,20,8.05
71,Itupiranga,BR,2021-09-14 19:59:59,41,-5.1347,-49.3267,95.32,68,6.64
72,Kodiak,US,2021-09-14 19:52:42,62,57.79,-152.4072,50.02,100,14.05
73,Ilhabela,BR,2021-09-14 19:59:59,65,-23.7781,-45.3581,79.54,88,4.52
74,Kavieng,PG,2021-09-14 19:51:56,77,-2.5744,150.7967,80.04,88,3.31
75,Murgab,TM,2021-09-14 20:00:00,43,37.4966,61.9714,71.47,0,4.61
76,Pontianak,ID,2021-09-14 20:00:01,100,-0.0333,109.3333,76.98,75,3.44
77,Tiksi,RU,2021-09-14 19:50:49,97,71.6872,128.8694,40.37,100,8.84
78,Barcelos,PT,2021-09-14 20:00:03,88,41.5388,-8.6151,67.28,100,3.0
79,Pocosol,CR,2021-09-14 20:00:04,82,10.3667,-84.6167,85.1,97,1.3
80,Alice Springs,AU,2021-09-14 20:00:05,31,-23.7,133.8833,58.55,40,0.0
81,Saint-Philippe,RE,2021-09-14 19:47:22,76,-21.3585,55.7679,69.35,33,11.34
82,Oranjemund,NA,2021-09-14 19:52:03,77,-28.55,16.4333,55.35,80,12.86
83,Taoudenni,ML,2021-09-14 20:00:06,8,22.6783,-3.9836,105.01,4,6.87
84,Waingapu,ID,2021-09-14 20:00:07,83,-9.6567,120.2641,76.48,15,4.0
85,Katherine,AU,2021-09-14 20:00:09,61,-14.4667,132.2667,82.72,40,4.61
86,Faanui,PF,2021-09-14 19:51:57,75,-16.4833,-151.75,78.46,13,16.84
87,Lompoc,US,2021-09-14 19:51:04,75,34.6391,-120.4579,87.01,1,11.5
88,Bethel,US,2021-09-14 19:52:44,69,41.3712,-73.414,79.48,75,6.91
89,Ashington,GB,2021-09-14 20:00:11,74,50.9331,-0.3909,64.9,80,6.46
90,Cape Town,ZA,2021-09-14 19:48:03,70,-33.9258,18.4232,56.12,40,3.0
91,Tasiilaq,GL,2021-09-14 19:51:38,78,65.6145,-37.6368,33.58,97,2.75
92,Bredasdorp,ZA,2021-09-14 19:50:52,82,-34.5322,20.0403,52.92,100,6.91
93,Tezu,IN,2021-09-14 20:00:12,71,27.9167,96.1667,77.47,1,3.94
94,Bengkulu,ID,2021-09-14 19:51:49,85,-3.8004,102.2655,75.29,99,4.47
95,Mar Del Plata,AR,2021-09-14 19:49:26,58,-38.0023,-57.5575,51.82,0,10.36
96,Ballina,AU,2021-09-14 20:00:13,77,-28.8667,153.5667,48.78,84,13.22
97,Mehamn,NO,2021-09-14 19:52:18,93,71.0357,27.8492,42.98,75,2.3
98,Klaksvik,FO,2021-09-14 19:51:39,83,62.2266,-6.589,52.72,100,4.63
99,Grand Forks,US,2021-09-14 20:00:15,26,47.9417,-97.4337,70.79,6,14.0
100,Chibuto,MZ,2021-09-14 20:00:15,52,-24.6867,33.5306,74.57,0,12.12
101,Namibe,AO,2021-09-14 19:51:33,85,-15.1961,12.1522,61.39,49,5.59
102,Acapulco,MX,2021-09-14 19:57:27,89,16.8634,-99.8901,78.53,100,5.14
103,Darnah,LY,2021-09-14 20:00:17,64,32.767,22.6367,77.59,0,19.71
104,Kapaa,US,2021-09-14 19:50:59,68,22.0752,-159.319,82.38,40,5.01
105,Shasta Lake,US,2021-09-14 19:53:24,14,40.6804,-122.3708,101.93,0,1.99
106,Dingle,PH,2021-09-14 19:52:22,86,10.9995,122.6711,77.14,100,5.26
107,Sur,OM,2021-09-14 19:50:47,54,22.5667,59.5289,85.55,100,8.9
108,Swellendam,ZA,2021-09-14 20:00:18,92,-34.0226,20.4417,51.26,100,2.75
109,Tuktoyaktuk,CA,2021-09-14 19:51:43,76,69.4541,-133.0374,46.4,75,12.66
110,Cidreira,BR,2021-09-14 19:52:36,87,-30.1811,-50.2056,66.25,100,8.86
111,Vanimo,PG,2021-09-14 19:52:01,87,-2.6741,141.3028,76.21,87,1.7
112,Tura,IN,2021-09-14 20:00:19,97,25.5198,90.2201,73.15,100,2.82
113,Georgetown,MY,2021-09-14 19:46:38,87,5.4112,100.3354,79.9,20,2.3
114,Butaritari,KI,2021-09-14 19:51:00,75,3.0707,172.7902,82.63,99,14.67
115,Port Alfred,ZA,2021-09-14 19:50:57,80,-33.5906,26.891,60.96,14,15.97
116,Inhambane,MZ,2021-09-14 20:00:21,88,-23.865,35.3833,73.76,1,14.27
117,Torbay,CA,2021-09-14 19:51:20,62,47.6666,-52.7314,68.77,20,13.8
118,Vestmanna,FO,2021-09-14 19:53:18,100,62.1564,-7.1664,50.92,90,1.14
119,Salvador,SV,2021-09-14 20:00:19,68,13.8333,-88.9167,79.2,69,4.65
120,Mnogovershinnyy,RU,2021-09-14 20:00:22,71,53.9353,139.9242,42.76,45,4.54
121,Yumen,CN,2021-09-14 19:50:48,41,40.2833,97.2,63.73,75,3.06
122,Kloulklubed,PW,2021-09-14 20:00:23,80,7.0419,134.2556,81.01,100,7.34
123,Urumqi,CN,2021-09-14 19:56:05,42,43.801,87.6005,63.55,0,4.47
124,Manokwari,ID,2021-09-14 19:52:43,76,-0.8667,134.0833,78.1,90,4.9
